id,name,region_name,Income_level
ABW,Aruba,Latin America & Caribbean ,High income
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income
AGO,Angola,Sub-Saharan Africa ,Lower middle income
ALB,Albania,Europe & Central Asia,Upper middle income
AND,Andorra,Europe & Central Asia,High income
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income
ARG,Argentina,Latin America & Caribbean ,Upper middle income
ARM,Armenia,Europe & Central Asia,Upper middle income
ASM,American Samoa,East Asia & Pacific,High income
ATG,Antigua and Barbuda,Latin America & Caribbean ,High income
AUS,Australia,East Asia & Pacific,High income
AUT,Austria,Europe & Central Asia,High income
AZE,Azerbaijan,Europe & Central Asia,Upper middle income
BDI,Burundi,Sub-Saharan Africa ,Low income
BEL,Belgium,Europe & Central Asia,High income
BEN,Benin,Sub-Saharan Africa ,Lower middle income
BFA,Burkina Faso,Sub-Saharan Africa ,Low income
BGD,Bangladesh,South Asia,Lower middle income
BGR,Bulgaria,Europe & Central Asia,High income
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",High income
BHS,"Bahamas, The",Latin America & Caribbean ,High income
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income
BLR,Belarus,Europe & Central Asia,Upper middle income
BLZ,Belize,Latin America & Caribbean ,Upper middle income
BMU,Bermuda,North America,High income
BOL,Bolivia,Latin America & Caribbean ,Lower middle income
BRA,Brazil,Latin America & Caribbean ,Upper middle income
BRB,Barbados,Latin America & Caribbean ,High income
BRN,Brunei Darussalam,East Asia & Pacific,High income
BTN,Bhutan,South Asia,Lower middle income
BWA,Botswana,Sub-Saharan Africa ,Upper middle income
CAF,Central African Republic,Sub-Saharan Africa ,Low income
CAN,Canada,North America,High income
CHE,Switzerland,Europe & Central Asia,High income
CHL,Chile,Latin America & Caribbean ,High income
CHN,China,East Asia & Pacific,Upper middle income
CIV,Cote d'Ivoire,Sub-Saharan Africa ,Lower middle income
CMR,Cameroon,Sub-Saharan Africa ,Lower middle income
COD,"Congo, Dem. Rep.",Sub-Saharan Africa ,Low income
COG,"Congo, Rep.",Sub-Saharan Africa ,Lower middle income
COL,Colombia,Latin America & Caribbean ,Upper middle income
COM,Comoros,Sub-Saharan Africa ,Lower middle income
CPV,Cabo Verde,Sub-Saharan Africa ,Upper middle income
CRI,Costa Rica,Latin America & Caribbean ,High income
CUB,Cuba,Latin America & Caribbean ,Upper middle income
CUW,Curacao,Latin America & Caribbean ,High income
CYM,Cayman Islands,Latin America & Caribbean ,High income
CYP,Cyprus,Europe & Central Asia,High income
CZE,Czechia,Europe & Central Asia,High income
DEU,Germany,Europe & Central Asia,High income
DJI,Djibouti,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income
DMA,Dominica,Latin America & Caribbean ,Upper middle income
